user,result,apply_dt,close_dt,update_ts,duration,description,id
marshall,通过,2020-03-26,2020-10-26,2020-11-17 17:12,214 days,"中国，男，30，单身，985本，NTU master, EP，月薪6.5k，工作第6年，第四次申请",meta/pr/2020-11-18/2020-11-17 17:12_marshall.json
Zoey,通过,2018-10-16,2020-10-28,2020-11-16 16:34,743 days,"37， 国内普通本科，美国ITMNC, 月薪5900，兼职读研。小孩8岁，就读政府学校。在新加坡居住9年，第三次申等待2年多，最后通过。",meta/pr/2020-11-18/2020-11-16 16:34_Zoey.json
小姐姐,通过,2020-04-25,2020-11-11,2020-11-16 15:21,200 days,女，26岁，S Pass， 工资2300，马来西亚人，Diploma 在Singapore Institute of Management 读，Degree 在SIMGE 的RMIT 读。工作至今3年（申请一次通过）,meta/pr/2020-11-18/2020-11-16 15:21_小姐姐.json
PR APROVE,等待,2020-05-27,,2020-11-16 13:44,,DIPLOMA 会计 2.9k 25岁马男 单身 来新工作快6年了,meta/pr/2020-11-18/2020-11-16 13:44_PR APROVE.json
来问问,等待,2020-03-02,,2020-11-12 01:30,,马男 spm,meta/pr/2020-11-18/2020-11-12 01:30_来问问.json
Necratog,等待,2020-05-29,,2020-11-10 08:10,,台灣人，來新3年，PHD，月薪8K，SP，製造業，夫妻加3女，試試看會不會過…,meta/pr/2020-11-18/2020-11-10 08:10_Necratog.json
fubythanks,等待,2020-11-09,,2020-11-09 13:56,,来新5年，EP，薪水6000，妈妈带一两岁男孩申请，压力大，担忧，希望能过,meta/pr/2020-11-18/2020-11-09 13:56_fubythanks.json
apple,等待,2020-09-17,,2020-11-04 17:02,,sp，来新18年，月薪6k，ite,meta/pr/2020-11-18/2020-11-04 17:02_apple.json
Kyle,通过,2020-02-11,2020-11-04,2020-11-04 16:07,267 days,中国籍夫妻30岁左右，双EP双5k+，都是本地master毕业，工作7年，这是第三次，带了国内的1岁孩子申请,meta/pr/2020-11-18/2020-11-04 16:07_Kyle.json
77,等待,2020-09-30,,2020-11-03 09:41,,马来西亚女/EP/Degree毕业/23岁 来新加坡工作1年半,meta/pr/2020-11-18/2020-11-03 09:41_77.json
大牛,通过,2020-02-12,2020-11-01,2020-11-02 23:16,263 days,服务业，spass马男32 ite带妻儿，夫妻月入10k。一次通过。,meta/pr/2020-11-03/2020-11-02 23:16_大牛.json
